2024-06-01 13:12:00.039 MSK [4404] СООБЩЕНИЕ:  система БД была выключена: 2024-06-01 13:10:56 MSK
2024-06-01 13:17:00.088 MSK [5264] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-01 13:17:00.120 MSK [5264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.009 сек., синхр.=0.005 сек., всего=0.039 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A7C320, lsn redo=0/1A7C2E8
2024-06-01 14:02:00.211 MSK [5264] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-01 14:02:00.582 MSK [5264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.338 сек., синхр.=0.020 сек., всего=0.372 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.017 сек., средняя=0.005 сек.; расстояние=9 kB, ожидалось=9 kB; lsn=0/1A7E9C0, lsn redo=0/1A7E988
2024-06-01 15:27:00.764 MSK [5264] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-01 15:27:01.353 MSK [5264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.553 сек., синхр.=0.007 сек., всего=0.590 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=12 kB, ожидалось=12 kB; lsn=0/1A81BC0, lsn redo=0/1A81B88
2024-06-01 16:17:00.417 MSK [5264] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-01 16:17:00.771 MSK [5264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.335 сек., синхр.=0.005 сек., всего=0.354 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=8 kB, ожидалось=12 kB; lsn=0/1A83D70, lsn redo=0/1A83D38
2024-06-01 19:02:17.519 MSK [7132] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-06-01 19:02:17.521 MSK [9784] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-06-01 19:02:17.526 MSK [14116] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
