2024-09-19 09:20:00.895 MSK [9828] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-09-17 21:24:19 MSK
2024-09-19 09:20:01.679 MSK [9828] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-09-19 09:20:01.682 MSK [9828] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1A853E8
2024-09-19 09:20:01.682 MSK [9828] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A85420: ожидалось минимум 24, получено 0
2024-09-19 09:20:01.682 MSK [9828] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1A853E8, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2024-09-19 09:20:01.686 MSK [9808] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-09-19 09:20:01.692 MSK [9808] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.008 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A85420, lsn redo=0/1A85420
2024-09-19 12:27:23.677 MSK [10956] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2024-09-19 12:27:23.677 MSK [10948] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2024-09-19 12:27:23.679 MSK [9808] СООБЩЕНИЕ:  выключение
2024-09-19 12:27:23.680 MSK [9808] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2024-09-19 12:27:23.685 MSK [9808] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.006 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A854D0, lsn redo=0/1A854D0
