2024-12-04 09:56:51.146 MSK [36284] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-12-04 09:56:51.146 MSK [36284] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-12-04 09:56:51.295 MSK [45088] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-12-04 09:56:51.295 MSK [45088] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-12-04 10:06:42.974 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 10:06:43.309 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.336 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=18 kB; lsn=0/20E0AF0, lsn redo=0/20E0AB8
2024-12-04 10:11:42.315 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 10:11:42.650 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.336 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=17 kB; lsn=0/20E2AB8, lsn redo=0/20E2A80
2024-12-04 13:42:42.585 MSK [15768] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 13:42:42.585 MSK [16256] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 13:42:42.585 MSK [2548] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 13:42:42.585 MSK [41020] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
